2012-08-20T11:23:22-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 87028875, ServiceId 13767, CustomerId 1345472602, Nachricht: Sofortüberweisung abgelehnt, weil systemweit deaktiviert 
2012-08-20T11:23:22-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 87028875, ServiceId 13767, CustomerId 1345472602, Nachricht: Paypalbezahlung zugestimmt 
2012-08-20T11:23:22-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 87028875, ServiceId 13767, CustomerId 1345472602, Nachricht: Kreditkartenzahlung zugestimmt 
2012-08-20T11:23:22-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 87028875, ServiceId 13767, CustomerId 1345472602, Nachricht: Barzahlung zugestimmt 
2012-08-20T11:23:22-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 87028875, ServiceId 13767, CustomerId 1345472602, Nachricht: Paypalbezahlung zugestimmt 
2012-08-20T11:23:22-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 87028875, ServiceId 13767, CustomerId 1345472602, Nachricht: Kreditkartenzahlung zugestimmt 
2012-08-20T11:24:01-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 43152918, ServiceId 13767, CustomerId 1345472641, Nachricht: Barzahlung zugestimmt 
2012-08-20T12:20:24-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 06298224, ServiceId 13608, CustomerId 1345476023, Nachricht: Barzahlung zugestimmt 
2012-08-20T12:20:24-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 06298224, ServiceId 13608, CustomerId 1345476023, Nachricht: Sofortüberweisung abgelehnt, weil systemweit deaktiviert 
2012-08-20T12:20:24-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 06298224, ServiceId 13608, CustomerId 1345476023, Nachricht: Paypalbezahlung zugestimmt 
2012-08-20T12:20:24-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 06298224, ServiceId 13608, CustomerId 1345476023, Nachricht: Kreditkartenzahlung zugestimmt 
2012-08-20T12:20:24-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 06298224, ServiceId 13608, CustomerId 1345476023, Nachricht: Barzahlung zugestimmt 
2012-08-20T12:20:24-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 06298224, ServiceId 13608, CustomerId 1345476023, Nachricht: Paypalbezahlung zugestimmt 
2012-08-20T12:20:24-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 06298224, ServiceId 13608, CustomerId 1345476023, Nachricht: Kreditkartenzahlung zugestimmt 
2012-08-20T12:23:09-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 27959857, ServiceId 16112, CustomerId 1345476188, Nachricht: Barzahlung zugestimmt 
2012-08-20T12:23:09-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 27959857, ServiceId 16112, CustomerId 1345476188, Nachricht: Sofortüberweisung abgelehnt, weil systemweit deaktiviert 
2012-08-20T12:23:09-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 27959857, ServiceId 16112, CustomerId 1345476188, Nachricht: Paypalbezahlung zugestimmt 
2012-08-20T12:23:09-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 27959857, ServiceId 16112, CustomerId 1345476188, Nachricht: Kreditkartenzahlung zugestimmt 
