Land;Stadt;Anzahl;KW
CH;Waldau;1;33
CH;Oberscherli;1;33
CH;Zürich Crédit Suisse;1;33
CH;Bargen;1;33
CH;Dierikon;1;33
CH;Flugbrunnen;1;33
CH;Goldach;1;33
CH;Hünikon;1;33
CH;Stuckishaus;1;33
CH;Oetwil an der Limmat;1;33
CH;Zürich Jelmoli-Vers.;1;33
CH;Bottmingermühle;1;33
CH;Opfikon;1;33
CH;Inwil;1;33
CH;Neudorf;1;33
CH;Wiler bei Seedorf;1;33
CH;Zürichhorn;1;33
CH;Adliswil;1;33
CH;Effretikon;1;33
CH;Perlen;1;33
CH;Hellbühl;1;33
CH;Kallnach;1;33
CH;Mariastein;1;33
CH;Uettligen;1;33
CH;Niederbottigen;1;33
CH;Affoltern am Albis;1;33
CH;Buchs;1;33
CH;Herzwil;1;33
CH;Rüfenacht;1;33
CH;Speicher;1;33
CH;Möhlin;1;33
CH;Zollikerberg;1;33
CH;Dampfwil;1;33
CH;Gisikon;1;33
CH;Stein;1;33
CH;Oberried bei Niederscherli;1;33
CH;Zürich Amtsstellen;1;33
CH;Bantigen;1;33
CH;Dielsdorf;1;33
CH;Ferenberg bei Stettlen;1;33
CH;Gockhausen;1;33
CH;Langenloh;1;33
CH;Walperswil;1;33
CH;Zürich Helsana;1;33
CH;Aarberg;1;33
CH;Dietlikon;1;33
CH;Freidorf;1;33
CH;Riedern bei Bern;1;33
CH;Innerberg;1;33
CH;Seftau;1;33
CH;Theilingen;1;33
CH;Neubrück;1;33
CH;Wiesendangen;1;33
CH;Zürich Sonderdienste;1;33
FR;Paris;339;33
FR;Levallois-Perret;75;33
FR;Neuilly-sur-Seine;71;33
FR;Montrouge;69;33
FR;Issy-les-Moulineaux;67;33
FR;Boulogne-Billancourt;61;33
FR;Malakoff;60;33
FR;Vincennes;50;33
FR;Vanves;48;33
FR;Saint-Mandé;47;33
FR;Clichy;46;33
FR;Puteaux;43;33
FR;Bagnolet;43;33
FR;Montreuil;42;33
FR;Châtillon;42;33
FR;Le Kremlin-Bicêtre;39;33
FR;Gentilly;38;33
FR;Lyon;38;33
FR;Bagneux;37;33
FR;Saint-Ouen;37;33
FR;Arcueil;37;33
FR;Les Lilas;35;33
FR;Courbevoie;34;33
FR;Cachan;33;33
FR;Asnières-sur-Seine;33;33
FR;Villeurbanne;32;33
FR;Bourg-la-Reine;29;33
FR;Ivry-sur-Seine;28;33
FR;Charenton-le-Pont;28;33
FR;Nogent-sur-Marne;26;33
FR;Romainville;26;33
FR;Pantin;26;33
FR;Le Pré-Saint-Gervais;25;33
FR;L\'Haÿ-les-Roses;24;33
FR;Fontenay-aux-Roses;24;33
FR;Suresnes;23;33
FR;Caluire-et-Cuire;23;33
FR;Châtenay-Malabry;23;33
FR;Saint-Fons;22;33
FR;Rillieux-la-Pape;22;33
FR;Dardilly;22;33
FR;Pierre-Bénite;22;33
FR;Bron;22;33
FR;Vénissieux;22;33
FR;Rosny-sous-Bois;22;33
FR;Francheville;22;33
FR;Tassin-la-Demi-Lune;22;33
FR;La Mulatière;22;33
